"ID_TEMPO";"DATA_ISO";"DIA";"MES";"ANO";"DATA_FORMATADA"
41582;20160121;21;1;2016;21/01/16
42529;20160926;26;9;2016;26/09/16
42963;20161230;30;12;2016;30/12/16
42516;20160913;13;9;2016;13/09/16
41989;20160317;17;3;2016;17/03/16
42913;20161110;10;11;2016;10/11/16
42517;20160914;14;9;2016;14/09/16
42496;20160824;24;8;2016;24/08/16
42919;20161116;16;11;2016;16/11/16
42490;20160818;18;8;2016;18/08/16
42934;20161201;1;12;2016;01/12/16
42481;20160809;9;8;2016;09/08/16
42018;20160415;15;4;2016;15/04/16
42030;20160427;27;4;2016;27/04/16
41607;20160215;15;2;2016;15/02/16
42547;20161014;14;10;2016;14/10/16
41982;20160310;10;3;2016;10/03/16
42550;20161017;17;10;2016;17/10/16
42456;20160715;15;7;2016;15/07/16
42065;20160601;1;6;2016;01/06/16
42544;20161011;11;10;2016;11/10/16
41983;20160311;11;3;2016;11/03/16
41995;20160323;23;3;2016;23/03/16
42463;20160722;22;7;2016;22/07/16
42504;20160901;1;9;2016;01/09/16
42533;20160930;30;9;2016;30/09/16
42932;20161129;29;11;2016;29/11/16
42003;20160331;31;3;2016;31/03/16
42079;20160615;15;6;2016;15/06/16
42049;20160516;16;5;2016;16/05/16
42099;20160705;5;7;2016;05/07/16
41622;20160301;1;3;2016;01/03/16
42001;20160329;29;3;2016;29/03/16
41583;20160122;22;1;2016;22/01/16
41628;20160307;7;3;2016;07/03/16
42016;20160413;13;4;2016;13/04/16
41625;20160304;4;3;2016;04/03/16
42947;20161214;14;12;2016;14/12/16
42553;20161020;20;10;2016;20/10/16
42940;20161207;7;12;2016;07/12/16
42473;20160801;1;8;2016;01/08/16
42962;20161229;29;12;2016;29/12/16
42538;20161005;5;10;2016;05/10/16
41595;20160203;3;2;2016;03/02/16
42502;20160830;30;8;2016;30/08/16
42935;20161202;2;12;2016;02/12/16
42938;20161205;5;12;2016;05/12/16
42070;20160606;6;6;2016;06/06/16
42505;20160902;2;9;2016;02/09/16
42064;20160531;31;5;2016;31/05/16
42015;20160412;12;4;2016;12/04/16
42532;20160929;29;9;2016;29/09/16
41597;20160205;5;2;2016;05/02/16
42093;20160629;29;6;2016;29/06/16
42537;20161004;4;10;2016;04/10/16
42477;20160805;5;8;2016;05/08/16
42008;20160405;5;4;2016;05/04/16
42949;20161216;16;12;2016;16/12/16
42066;20160602;2;6;2016;02/06/16
41608;20160216;16;2;2016;16/02/16
42956;20161223;23;12;2016;23/12/16
42945;20161212;12;12;2016;12/12/16
42483;20160811;11;8;2016;11/08/16
42953;20161220;20;12;2016;20/12/16
41615;20160223;23;2;2016;23/02/16
42933;20161130;30;11;2016;30/11/16
41604;20160212;12;2;2016;12/02/16
41593;20160201;1;2;2016;01/02/16
42045;20160512;12;5;2016;12/05/16
41581;20160120;20;1;2016;20/01/16
42495;20160823;23;8;2016;23/08/16
41603;20160211;11;2;2016;11/02/16
42939;20161206;6;12;2016;06/12/16
42948;20161215;15;12;2016;15/12/16
42009;20160406;6;4;2016;06/04/16
42092;20160628;28;6;2016;28/06/16
42007;20160404;4;4;2016;04/04/16
42475;20160803;3;8;2016;03/08/16
41586;20160125;25;1;2016;25/01/16
42954;20161221;21;12;2016;21/12/16
42560;20161027;27;10;2016;27/10/16
42518;20160915;15;9;2016;15/09/16
42038;20160505;5;5;2016;05/05/16
42469;20160728;28;7;2016;28/07/16
42903;20161031;31;10;2016;31/10/16
42501;20160829;29;8;2016;29/08/16
42508;20160905;5;9;2016;05/09/16
42484;20160812;12;8;2016;12/08/16
42546;20161013;13;10;2016;13/10/16
41616;20160224;24;2;2016;24/02/16
41594;20160202;2;2;2016;02/02/16
42489;20160817;17;8;2016;17/08/16
42530;20160927;27;9;2016;27/09/16
41621;20160229;29;2;2016;29/02/16
42952;20161219;19;12;2016;19/12/16
42084;20160620;20;6;2016;20/06/16
42910;20161107;7;11;2016;07/11/16
41590;20160129;29;1;2016;29/01/16
41609;20160217;17;2;2016;17/02/16
42914;20161111;11;11;2016;11/11/16
41987;20160315;15;3;2016;15/03/16
42531;20160928;28;9;2016;28/09/16
42526;20160923;23;9;2016;23/09/16
