"ID_CONTRATO";"CD_SIAFI";"NR_CONTRATO_CONV";"DT_ASSINATURA";"DT_VENCIMENTO";"VR_INICIAL"
330;9000980;"BID/MG3 2306";08/07/10;15/02/35;241942000
338;9001813;"CREDITSUISSE";28/11/12;30/04/27;2714400000
341;9017291;"39777441/13";28/11/13;05/11/37;237500000
272;9001784;"SEM DESCRICAO";11/12/12;15/12/32;1326389531,69
309;9001811;"AFD CBR 1046";03/12/12;03/12/32;827250000
311;9000834;"2232/OC-BR";26/02/10;15/11/34;72440000
324;9000832;"2200/OC-BR";26/02/10;15/11/34;18110000
331;34;"STN-DMLP";10/04/97;11/04/24;389143065,32
333;9000974;"BNDES 231-F2";30/06/10;15/07/20;34889000
337;108;"RECOMPBDMG";08/05/98;20/02/38;102077634,73
292;107;"RESIDUO SANB";08/05/98;20/02/38;5440425666,16
303;9001864;"20/00020-0";26/12/12;21/06/32;3653733000
329;113;"2117/OC-BR";22/10/09;22/10/29;17430000
262;43;"OVERS. OEC";05/09/91;20/09/16;139000000
269;9001114;"2281/OC-BR";30/09/10;16/05/35;84710000
304;106;"RESIDUO 9496";18/02/98;20/02/38;15287887561,65
316;105;"7547";13/08/08;15/04/37;1582193600
328;9008999;"20/000219";24/07/13;25/07/33;1500000000
268;9017292;"39776750/13";28/11/13;05/03/37;120887500
298;40;"B. PARIBAS";08/02/88;31/12/16;724187,5
332;93;"2851";26/05/06;27/09/27;56743500
335;9000981;"BIRDMG2 7871";09/07/10;15/03/39;814126000
259;9017290;"39777223/13";28/11/13;05/09/36;94254505,82
296;95;"BID/PROA1709";28/04/06;14/11/30;104460000
308;91;"PCPR 7329-BR";31/01/06;15/10/22;77560000
315;9001805;"BIRD 8187 BR";26/11/12;15/04/42;934245000
327;9000973;"PEF II BNDES";29/06/10;15/07/20;267270000
342;114;"106-1";18/12/09;15/01/19;178180000
260;9001115;"BNDES/PMAE";07/10/10;15/10/18;4674242,98
310;9001679;"12.2.0261.1";03/07/12;15/07/22;247000000
312;94;"BIRD/DPL7377";28/04/06;15/02/24;226200000
265;38;"SAN. B. EST.";08/05/98;08/05/28;4344336000
279;36;"LEI 9496";18/02/98;20/02/28;9212176724,97
282;30;"CEF PNAFE";17/11/97;01/03/17;27685000
283;9001678;"SEM DESCRICAO";11/12/12;15/12/22;469773000
