"ID_TEMPO";"ID_TIPO";"ID_CREDOR";"ID_CONTRATO";"VR_JUROS";"VR_AMORTIZACAO"
41582;2;55;331;0;0
41582;1;45;296;0;0
42560;1;45;296;0;0
42064;2;52;327;0;0
42079;2;52;333;106201,21;307905,47
41987;2;52;260;15416,59;78412,85
42502;2;52;310;0;0
41582;2;55;303;0;0
42932;2;42;268;0;0
42008;2;55;337;0;0
41590;2;55;337;0;0
42045;1;45;329;211068,73;782237,12
41582;2;55;279;0;0
42064;2;55;304;0;0
41586;2;55;337;0;0
41586;2;52;342;249017,01;901839,72
42947;2;52;327;690574,03;2832496,74
41603;1;45;330;1355047;2830125,46
42003;1;44;315;0;0
41586;2;42;259;463,65;0
42529;2;52;333;-12,37;1996,42
42560;1;45;269;0;0
42913;2;52;283;1180677,59;2783514,06
42948;2;52;333;0;0
42932;2;52;260;0;0
42938;2;52;310;0;0
42547;2;52;310;825936,43;1739765,83
41603;1;57;338;34267867,12;0
42030;2;42;259;0;0
41597;2;42;259;0;0
42003;2;42;341;0;0
41582;2;55;337;0;0
42560;1;45;329;0;0
41607;2;55;342;500370,19;1866046,36
41608;2;55;342;249017,01;901839,72
42502;2;52;260;0;0
42477;2;52;272;7127411,08;6107317,97
42018;2;52;272;7237510,37;6078243,46
41582;2;42;268;0;0
41597;2;42;268;0;0
41595;2;42;268;20335,77;0
42502;2;49;332;0;0
42952;2;52;333;0;0
42932;2;52;283;0;0
42531;2;52;310;0;0
42560;2;52;272;0;0
42531;1;44;316;0;0
42015;2;55;292;0;0
42489;2;55;342;0,01;-2,33
41621;1;44;335;0;0
42938;2;52;272;0;0
42932;1;57;338;0;0
42945;2;55;303;0;0
42538;2;42;268;0;0
42475;2;42;268;30584,29;0
42030;2;55;279;0;0
42001;2;55;292;0;19295929,88
42517;2;52;333;103523,28;308970,17
42456;2;52;260;14021,81;78788,39
41586;2;42;341;2851,44;0
42952;2;52;272;0;0
41586;2;52;272;3541681,93;2930652,59
42933;2;55;298;0;0
42938;1;44;308;0;0
41582;2;49;332;0;0
41625;2;55;304;0;-16332,97
41582;2;55;304;0;0
42935;2;55;337;0;0
41582;1;44;335;0;0
42518;2;52;310;0;0
41590;2;52;272;0;0
42502;2;55;279;4422203,61;53769780,11
42913;1;45;296;1088099,4;3924487,02
41604;2;55;304;0;0
42093;2;55;342;0;0
42018;2;55;342;473683,8;1870437,12
42938;2;55;279;0;0
41582;1;53;262;0;0
42477;2;52;333;105615,67;308640,13
42939;1;44;335;0;0
42518;2;52;260;0;0
41590;2;52;310;0;0
42932;2;52;272;0;0
42003;2;52;272;0;0
42501;2;42;259;0;0
42008;2;42;259;29908,56;0
41628;2;42;268;20355,24;0
42015;2;55;265;0;0
42469;1;44;312;0;0
42003;2;52;327;0;0
41621;2;52;327;0;0
42913;2;52;333;96142,31;309716,77
42477;2;52;310;820840,81;1735510,25
41615;2;42;259;0;0
42560;2;42;341;0;0
42546;1;44;308;325700,96;4650356,66
41590;2;55;292;0;0
42913;2;52;327;729791,35;2829306,62
42484;2;52;333;0;0
42913;2;52;310;763889,67;1741797,47
42007;2;55;337;1984,48;0
42016;1;44;315;4979138;0
42064;2;55;303;0;0
41581;2;42;259;0;0
42093;2;42;259;0;0
42001;2;55;337;598222,66;560322,96
42949;2;55;342;0;-0,01
42456;2;55;342;419397,27;1877110,7
42477;2;52;327;801609,97;2819076,24
41621;2;52;333;0;0
41590;1;45;330;0;0
42030;1;45;269;0;0
42952;2;55;303;0;0
42463;2;55;328;34292314,1;0
42093;2;42;268;0;0
41582;2;49;298;0;0
42502;1;53;262;0;0
41603;1;44;312;697565,17;6011344,46
42546;1;44;316;13798761,25;66530672,7
41582;2;55;292;0;0
42049;2;52;327;848686,22;2809065,87
42049;2;52;333;111818,17;307544,16
42030;2;52;260;0;0
41582;2;52;310;0;0
42933;2;42;259;0;0
42935;1;58;309;0;0
42910;2;42;259;289958,84;109673,28
42003;2;55;331;0;0
42954;2;55;279;0;0
42516;1;53;262;239194,59;12249214,24
42938;2;49;332;0;0
42064;2;55;337;0;0
42935;1;45;324;0;0
41586;2;52;327;440756,13;1352759,61
41607;2;52;333;117974,39;306449,74
42093;2;52;283;0;0
41582;1;57;338;0;0
42553;1;57;338;0;0
42038;2;42;259;36602,63;0
42099;2;42;268;27000,56;0
41621;1;53;262;0;0
41582;1;44;308;0;0
42553;1;44;308;0;0
42030;1;45;296;0;0
42550;2;55;342;405645,6;1884004,35
42001;2;55;279;142206001,28;96194804,82
42954;1;44;312;0;0
42938;1;44;316;0;0
41621;2;55;304;0;59462206,98
42560;2;55;342;0;0
42502;2;52;327;0;0
42948;2;52;260;0;0
42469;1;57;338;0;0
42508;2;42;341;36129,09;0
42064;2;42;341;0;0
41586;2;42;268;7070,97;0
42932;2;52;327;0;0
42003;2;52;333;0;0
42952;2;52;260;0;0
42079;2;52;260;14505,57;78696,04
42018;2;52;260;15987,35;78508,27
42003;2;52;283;0;0
42547;2;52;333;104732,83;309355,51
42030;2;52;333;0;0
42948;2;52;310;0;0
41987;2;52;272;6794999,49;6070855,68
41582;1;45;329;0;0
42914;1;45;329;255074,14;1025931,93
41983;1;44;335;5654729,97;0
42049;2;52;310;852006,31;1729347,56
42547;2;52;272;7301615,42;6122331,86
42531;2;52;272;0;0
42003;2;42;259;0;0
42953;1;44;312;0;0
42517;2;52;327;785859,23;2822486,36
41582;1;45;269;0;0
41586;2;52;283;662259,76;1330865,09
41987;2;52;310;816147,19;1725148,8
42947;2;52;272;6562337,89;6136392,48
41595;2;42;259;1892,83;0
